Old_Profile_ID,Site,New_Profile_ID,Landform,Layer,T_Depth,B_Depth,Sample_Thickness,Horizon,Master_Horizon,Horizon_Thickness,BD,Rock_Fragments,Sand,Silt,Clay,LOI,C,13C,15N,N,pH,EC,Xlf,Xfd
CR_11,MZ,MZb,Bar,Surface,0,10,10,A,A,3,0.87,0,22.3,49,28.8,8.9,2.68,-28.02,6.3,0.19,5.4,0.23,2.15E-07,9.3
CR_11,MZ,MZb,Bar,Surface,10,20,10,AB,A,17,1.02,0.014,21.7,48.8,29.5,7,,,,,5.3,0.18,1.68E-07,7.3
CR_11,MZ,MZb,Bar,Surface,20,30,10,Bg1,B,10,1.26,0,20.5,48.3,31.2,5.1,0.86,-26.21,7.86,0.09,5.5,0.18,2.27E-07,9.3
CR_11,MZ,MZb,Bar,Surface,30,40,10,Bg2,B,10,1.18,0,14.8,53.6,31.6,5,0.55,-25.05,8.76,0.07,5.4,0.21,2.83E-07,9.2
CR_11,MZ,MZb,Bar,Surface,42,52,10,Bg3,B,15,1.16,0.262,9.8,61.8,28.4,4.5,0.46,-24.92,8.8,0.06,5,0.22,2.75E-07,8.6
CR_11,MZ,MZb,Bar,Buried,55,64,9,2Ab1,A,3,1.08,0.789,27,41.4,31.6,4.7,0.49,-24.74,8.46,0.06,5.5,0.19,2.71E-07,8.5
CR_11,MZ,MZb,Bar,Buried,65,74,9,2Bg1b1,B,27,1.11,32.06,50.8,23.2,26,3.8,0.39,-25,8.84,0.04,5.6,0.16,3.04E-07,9.4
CR_11,MZ,MZb,Bar,Buried,75,85,10,2Bg1b1,B,27,1.2,7.227,19.1,49.8,31.2,4.4,,,,,5.5,0.16,2.93E-07,9.6
CR_11,MZ,MZb,Bar,Buried,85,94,9,2Bg2b2,B,45,1.23,0.303,19.2,53.2,27.6,4.7,,,,,5.1,0.22,2.77E-07,9.6
CR_11,MZ,MZb,Bar,Buried,95,101,6,2Bg2b2,B,45,0.92,0,7.9,57.4,34.8,5.5,,,,,5,0.18,3.51E-07,10.1
CR_11,MZ,MZb,Bar,Buried,109,120,11,2Bg2b2,B,45,1.29,0,10.7,56.5,32.8,4.9,0.41,-24.41,8.92,0.06,5.2,0.2,3.64E-07,10.7
CR_11,MZ,MZb,Bar,Buried,120,130,10,2Bg2b2,B,45,1.39,0,33,36.3,30.8,4.2,,,,,5.3,0.16,3.49E-07,8.9
CR_11,MZ,MZb,Bar,Buried,131,141,10,2Cg,C,26,1.31,0,19.8,51.8,28.4,4.2,0.42,-25.41,6.93,0.05,5.2,0.15,2.24E-07,8.3
CR_11,MZ,MZb,Bar,Buried,142,153,11,2Cg,C,26,1.21,0,7.1,59.7,33.2,5.4,,,,,5.5,0.17,3.17E-07,10.1
CR_14,TZ,TZb,Bar,Surface,0,3,3,C1,C,12,0.94,70.743,65.6,12.5,22,2.7,0.34,-26.93,7.3,0.03,6.2,0.15,1.27E-07,7.6
CR_14,TZ,TZb,Bar,Surface,0,10,10,C1,C,12,0.65,118.948,60.6,16.2,23.2,3.1,,,,,6.1,0.13,0.000000131,7.3
CR_14,TZ,TZb,Bar,Surface,10,20,10,C2,C,13,0.87,88.126,29.4,35.8,34.8,6,1.26,-26.65,6.82,0.11,5.3,0.1,1.52E-07,5.8
CR_14,TZ,TZb,Bar,Surface,20,30,10,C3,C,7,1.12,118.869,52,22.4,25.6,3.5,1.24,-26.99,6.46,0.11,5.8,0.17,1.26E-07,6.8
CR_17,DC,DCb,Bar,Surface,0,6,6,Ag,A,10,1.19,,4.5,59.9,35.6,4.2,1.03,-26.82,7.06,0.1,5.2,0.47,1.71E-07,7.3
CR_17,DC,DCb,Bar,Surface,10,20,10,Cg,C,34,1.24,,3.1,60.9,36,3.8,,,,,5.3,0.43,2.45E-07,8.5
CR_17,DC,DCb,Bar,Surface,20,30,10,Cg,C,34,1.32,,2.2,63,34.8,3.7,0.14,-25.69,4.86,0.04,5.3,0.37,2.42E-07,9.5
CR_17,DC,DCb,Bar,Buried,34,44,10,2Cg2,C,14,1.29,,3.9,62.5,33.6,3.8,,,,,5.7,0.48,2.34E-07,8.2
CR_17,DC,DCb,Bar,Buried,44,54,10,2Cg2,C,14,1.31,,3.3,59.9,36.8,4.1,1.05,,4.98,0.04,6,0.53,2.52E-07,8.1
CR_12,MZ,MZf,Floodplain,Surface,0,10,10,A,A,7,0.98,0,29.3,41.6,29.2,5.8,1.97,-27.61,5.62,0.18,5,0.36,2.05E-07,8.4
CR_12,MZ,MZf,Floodplain,Surface,10,20,10,Bwg,B,43,1.23,0,16.3,51.3,32.4,4,1.5,-27.05,6.35,0.15,4.6,0.24,2.48E-07,8.8
CR_12,MZ,MZf,Floodplain,Surface,20,30,10,Bwg,B,43,1.27,0,9.6,55.2,35.2,4.3,,,,,4.3,0.26,0.000000324,7.4
CR_12,MZ,MZf,Floodplain,Surface,30,40,10,Bwg,B,43,1.35,0,10.4,57.2,32.4,4,0.63,-25.54,8.05,0.08,4.3,0.24,3.64E-07,9.5
CR_12,MZ,MZf,Floodplain,Surface,40,50,10,Bwg,B,43,1.28,0,5.7,57.9,36.4,4.1,,,,,4.4,0.22,4.17E-07,10.3
CR_12,MZ,MZf,Floodplain,Buried,50,61,11,Bwg1b1,B,55,1.25,0,6.4,56.9,36.8,4.2,,,,,4.3,0.28,4.41E-07,10.1
CR_12,MZ,MZf,Floodplain,Buried,64,74,10,Bwg1b1,B,55,1.27,0,12.4,56.5,31.2,3.5,,,,,4.5,0.25,4.42E-07,10.1
CR_12,MZ,MZf,Floodplain,Buried,74,84,10,Bwg1b1,B,55,1.4,0,13.7,55.9,30.4,3.5,0.39,-24.36,7.84,0.05,4.4,0.22,4.62E-07,9.5
CR_12,MZ,MZf,Floodplain,Buried,84,95,11,Bwg1b1,B,55,1.38,0,17.9,52.1,30,3.7,,,,,4.5,0.22,4.70E-07,9.7
CR_12,MZ,MZf,Floodplain,Buried,95,105,10,Bwg1b1,B,55,1.43,0,16.5,54.3,29.2,3.6,,,,,4.6,0.22,4.61E-07,9.9
CR_12,MZ,MZf,Floodplain,Buried,105,115,10,Bwg2b1,B,45,1.43,0,30.6,42.6,26.8,3,,,,,4.7,0.16,3.42E-07,10
CR_12,MZ,MZf,Floodplain,Buried,118,128,10,Bwg2b1,B,45,1.33,0,29.9,44.1,26,3.3,,,,,4.7,0.17,2.93E-07,9
CR_12,MZ,MZf,Floodplain,Buried,130,140,10,Bwg2b1,B,45,1.49,0,49,27.8,23.2,2.4,0.26,-24.54,8.02,0.04,4.5,0.12,2.19E-07,8.5
CR_12,MZ,MZf,Floodplain,Buried,140,150,10,Bwg2b1,B,45,1.56,0,50.9,27.1,22,1.6,,,,,4.6,0.12,2.26E-07,10.7
CR_12,MZ,MZf,Floodplain,Buried,152,162,10,Bwg3b2,B,50,1.37,0,11.8,59.4,28.8,3.2,,,,,4.3,0.17,3.25E-07,10.7
CR_12,MZ,MZf,Floodplain,Buried,162,172,10,Bwg3b2,B,50,1.38,0,36.4,39.6,23.9,2.5,,,,,4.5,0.12,2.07E-07,10.4
CR_12,MZ,MZf,Floodplain,Buried,175,186,11,Bwg3b2,B,50,1.36,0,26,47.2,26.7,2.5,0.33,-24.67,7.13,0.04,4.4,0.13,1.79E-07,8.9
CR_12,MZ,MZf,Floodplain,Buried,187,198,11,Bwg3b2,B,50,1.37,0,34.7,38.9,26.3,2.6,,,,,4.4,0.12,2.57E-07,10.5
CR_12,MZ,MZf,Floodplain,Buried,202,211,9,2Cg,C,86,1.33,0,16.8,60.8,22.4,2.4,,,,,4.4,0.13,1.33E-07,7.2
CR_12,MZ,MZf,Floodplain,Buried,219,228,9,2Cg,C,86,1.38,0,8.8,70.9,20.4,2.1,,,,,4.3,0.11,1.07E-07,7.5
CR_12,MZ,MZf,Floodplain,Buried,232,242,10,2Cg,C,86,1.47,0,7,70.2,22.8,0.3,,,,,4.2,0.11,1.15E-07,6.5
CR_12,MZ,MZf,Floodplain,Buried,243,253,10,2Cg,C,86,1.42,0,10.2,65,24.8,2.3,0.22,-24.57,7.64,0.03,4.3,0.1,1.28E-07,8.5
CR_12,MZ,MZf,Floodplain,Buried,256,266,10,2Cg,C,86,1.43,0,6.7,69.7,23.6,2,,,,,4.2,0.1,1.09E-07,5.6
CR_12,MZ,MZf,Floodplain,Buried,267,276,9,2Cg,C,86,1.32,0,5.4,70.3,24.4,2,,,,,4,0.11,1.08E-07,5
