Old_Profile_ID,Site,Profile_ID,Landform,loi,clay,Bd_od,SOCdc,Ndc,d13C
CR-11 MZ Bar,MZ,MZb,Bar,8.9,28.77,0.77,2.68,0.19,-28
CR-11,MZ,MZb,Bar,7,29.55,0.91,,,
CR-11,MZ,MZb,Bar,5.11,31.18,1.12,0.86,0.09,-26.2
CR-11,MZ,MZb,Bar,5.02,31.57,1.05,0.55,0.07,-25
CR-11,MZ,MZb,Bar,4.55,28.39,1.04,0.46,0.06,-24.9
CR-11,MZ,MZb,Bar,4.65,31.59,0.97,0.49,0.06,-24.7
CR-11,MZ,MZb,Bar,3.83,25.99,1.11,0.39,0.04,-25
CR-11,MZ,MZb,Bar,4.42,31.18,1.1,,,
CR-11,MZ,MZb,Bar,4.71,27.59,1.1,,,
CR-11,MZ,MZb,Bar,5.54,34.77,0.82,,,
CR-11,MZ,MZb,Bar,4.86,32.77,1.15,0.41,0.06,-24.4
CR-11,MZ,MZb,Bar,4.18,30.75,1.24,,,
CR-11,MZ,MZb,Bar,4.22,28.4,1.16,0.42,0.05,-25.4
CR-11,MZ,MZb,Bar,5.44,33.19,1.08,,,
CR-12 MZ Flp,MZ,MZf,Floodplain,5.84,29.19,0.88,1.97,0.18,-27.6
CR-12,MZ,MZf,Floodplain,4,32.37,1.1,1.5,0.15,-27
CR-12,MZ,MZf,Floodplain,4.35,35.17,1.13,,,
CR-12,MZ,MZf,Floodplain,4.01,32.39,1.2,0.63,0.08,-25.5
CR-12,MZ,MZf,Floodplain,4.06,36.39,1.14,,,
CR-12,MZ,MZf,Floodplain,4.21,36.77,1.12,,,
CR-12,MZ,MZf,Floodplain,3.55,31.16,1.13,,,
CR-12,MZ,MZf,Floodplain,3.54,30.37,1.25,0.39,0.05,-24.4
CR-12,MZ,MZf,Floodplain,3.66,29.99,1.23,,,
CR-12,MZ,MZf,Floodplain,3.62,29.19,1.27,,,
CR-12,MZ,MZf,Floodplain,3.02,26.77,1.28,,,
CR-12,MZ,MZf,Floodplain,3.27,26,1.19,,,
CR-12,MZ,MZf,Floodplain,2.35,23.17,1.33,0.26,0.04,-24.5
CR-12,MZ,MZf,Floodplain,1.59,21.99,1.39,,,
CR-12,MZ,MZf,Floodplain,3.2,28.79,1.22,,,
CR-12,MZ,MZf,Floodplain,2.5,23.95,1.23,,,
CR-12,MZ,MZf,Floodplain,2.55,26.75,1.21,0.33,0.04,-24.7
CR-12,MZ,MZf,Floodplain,2.63,26.34,1.22,,,
CR-12,MZ,MZf,Floodplain,2.45,22.4,1.19,,,
CR-12,MZ,MZf,Floodplain,2.11,20.4,1.23,,,
CR-12,MZ,MZf,Floodplain,0.29,22.78,1.31,,,
CR-12,MZ,MZf,Floodplain,2.34,24.79,1.26,0.22,0.03,-24.6
CR-12,MZ,MZf,Floodplain,2.02,23.58,1.28,,,
CR-12,MZ,MZf,Floodplain,1.99,24.36,1.18,,,
CR-13 MZ Ter,MZ,MZt,Terrace,8.76,36.76,0.69,3,0.17,-28.7
CR-13,MZ,MZt,Terrace,4.76,38.77,1.12,,,
CR-13,MZ,MZt,Terrace,4.84,37.18,1.28,0.59,0.05,-26.2
CR-13,MZ,MZt,Terrace,4.45,39.15,1.22,,,
CR-13,MZ,MZt,Terrace,4.43,42.33,1.17,,,
CR-13,MZ,MZt,Terrace,5.32,47.58,1.21,0.22,0.04,-26
CR-13,MZ,MZt,Terrace,5.09,51.15,1.33,,,
CR-13,MZ,MZt,Terrace,5.55,51.16,1.16,,,
CR-13,MZ,MZt,Terrace,5.99,55.17,1.31,,,
CR-13,MZ,MZt,Terrace,5.9,55.9,1.41,,,
CR-13,MZ,MZt,Terrace,5.71,57.2,1.36,0.22,0.03,-27.3
CR-13,MZ,MZt,Terrace,5.76,57.54,1.36,,,
CR-13,MZ,MZt,Terrace,4.7,60.74,1.3,,,
CR-13,MZ,MZt,Terrace,4.41,47.98,1.43,,,
